label,inferred_smarts,llm_output
O=C1C(=C[N](O)[R])C=N[N]1[R],O=C1C(=CN(O)*)C=NN1*,hydroxyaminomethylenepyrazolone
O=C1C(=C[N]([R])[Nar])C=N[N]1[R],O=C1C(=CN(*)n)C=NN1*,triazolyl enaminone
S=C1C(=C[N]([R])[R])C=N[N]1[R],S=C1C(=CN(*)*)C=NN1*,4 enamine pyrazole 3 thione
O=[C]([R])N=c1ccc(C=CC(=O)[N]([R])[R])c[n]1[R],O=C(*)N=c1ccc(C=CC(=O)N(*)*)cn1*,n-substituted 2-acylimino-5-acrylamido pyridine
O=[S](=O)([R])N=C[N]([R])C=[N][R],O=S(=O)(*)N=CN(*)C=N*,sulfonyl biguanide
O=[C]([R])C(=N[N]([R])[R])C(=O)[N]([R])[R],O=C(*)C(=NN(*)*)C(=O)N(*)*,triazine carboxamide hydrazone
O=C(N=C([N]([R])[R])[N]([R])[R])[N]([R])[R],O=C(N=C(N(*)*)N(*)*)N(*)*,guanylurea
O=C([N]([R])[R])[N]([R])C(=[N][R])[N]([R])[R],O=C(N(*)*)N(*)C(=N*)N(*)*,guanylurea
[R][O]N=CBr,*ON=CBr,n-hydroxy imidoyl bromide
O=[C]1C=C([N]([R])[R])[N]([N]([R])[R])[R]1,O=C1C=C(N(*)*)N(N(*)*)*1,amino pyrazolone
O=C1C=CC=CC1=N[N]([R])[R],O=C1C=CC=CC1=NN(*)*,cyclohexadienone hydrazone
O=[C]([R])OC=C[N+](=O)[O-],O=C(*)OC=C[N&+](=O)[O&-],2-nitrovinyl ester
N#CC=C(N=C[S][R])[N]([R])[R],N#CC=C(N=CS*)N(*)*,cyanovinyl amino thioimidate
C=C1C(Cl)=C(Cl)C(Cl)=C1Cl,C=C1C(Cl)=C(Cl)C(Cl)=C1Cl,tetrachloro fulvene
O=C([O][R])[N]([R])C[N]([R])[S](=O)(=O)[R],O=C(O*)N(*)CN(*)S(=O)(=O)*,carbamate methylene sulfonamide
O=[S](=O)([R])O[S](=O)(=O)[R],O=S(=O)(*)OS(=O)(=O)*,sulfate
[O-][S+]([R])[N]([R])[R],[O&-][S&+](*)N(*)*,oxido amino sulfonium
N#CSC1=CC(=[N][R])C=C(SC#N)C1=O,N#CSC1=CC(=N*)C=C(SC#N)C1=O,dithiocyanato imino cyclohexadienone
O=[C]([R])C=C([N]([R])[R])[N]([R])[C](=O)[R],O=C(*)C=C(N(*)*)N(*)C(=O)*,dicarbonyl ene hydrazine
O=[S](=O)([R])N=c1sc([S][R])n[n]1[R],O=S(=O)(*)N=c1sc(S*)nn1*,sulfonamidine thiadiazole thioether
C=C([N]([R])[C](=O)[R])[N]([R])[C](=O)[R],C=C(N(*)C(=O)*)N(*)C(=O)*,bis-amide substituted alkene
O=[C]([R])[N]([R])C(=O)C=C[N]([R])[N]([R])[C](=O)[R],O=C(*)N(*)C(=O)C=CN(*)N(*)C(=O)*,imide ene hydrazide
O=C([N]([R])[R])[N]([R])C=N[S](=O)(=O)[R],O=C(N(*)*)N(*)C=NS(=O)(=O)*,urea sulfonamidine
O=[S](=O)([R])C([CH]=[Car])[N]=[Car],O=S(=O)(*)C([C&H1]=c)N=c,sulfonyl diaryl vinyl imine
O=C1C(Br)=CC(=N[S](=O)(=O)[R])C=C1Br,O=C1C(Br)=CC(=NS(=O)(=O)*)C=C1Br,quinone sulfonimide
O=[S](=O)([R])N=C1C=CC(=N[S](=O)(=O)[R])C=C1,O=S(=O)(*)N=C1C=CC(=NS(=O)(=O)*)C=C1,disulfonyliminoquinone
O=[S](=O)([R])N=C1[N]([R])C[N]([R])C[N]1[R],O=S(=O)(*)N=C1N(*)CN(*)CN1*,sulfonyl triazinyl imine
O=[S](=O)([R])N1CN2CN(C1)CN([S](=O)(=O)[R])C2,O=S(=O)(*)N1CN2CN(C1)CN(S(=O)(=O)*)C2,bicyclic disulfonamide
O=C([N]([R])C[N]([R])[S](=O)(=O)[R])[N]([R])C[N]([R])[S](=O)(=O)[R],O=C(N(*)CN(*)S(=O)(=O)*)N(*)CN(*)S(=O)(=O)*,gte 2 sulfonic acid
O=[S]([R])[Nar],O=S(*)n,sulfinamide aromatic nitrogen
O=[C]([R])C1=C(C(=O)[O][R])[N]([R])C(=O)C1=O,O=C(*)C1=C(C(=O)O*)N(*)C(=O)C1=O,"pyrrole-4,5-dione with 2-acyl and 3-ester"
O=C(C(=C[N]([R])[R])C(=N[O][R])[N]([R])[R])[N]([R])[R],O=C(C(=CN(*)*)C(=NO*)N(*)*)N(*)*,enaminone amidoxime
[R][N]([R])C=NC=N[N]([R])[R],*N(*)C=NC=NN(*)*,biguanide
N#CC=C([S][R])[N]([R])C=[N][R],N#CC=C(S*)N(*)C=N*,cyano vinyl thioether amidine
O=[C]1N=CC=[N][R]1,O=C1N=CC=N*1,pyrazinone
C=C([S][R])C(=O)[N]([R])[R],C=C(S*)C(=O)N(*)*,sulfanyl acrylamide
C=CC(=C)[N+](=O)[O-],C=CC(=C)[N&+](=O)[O&-],conjugated nitro group
O=[C]([R])[N]([R])[C]([Nar])=[N][R],O=C(*)N(*)C(n)=N*,n-heteroaryl amide
C=C1[S][R][C](=O)[N]1[R],C=C1S*C(=O)N1*,2-ylidene-4-thiazolidinone
O=C([N]=[Car])C(=C[O][R])[O][R],O=C(N=c)C(=CO*)O*,amidine enol ester
O=[C]1[R][S]C(=N[S](=O)(=O)[R])[N]1[R],O=C1*SC(=NS(=O)(=O)*)N1*,thiazolidinone sulfonylimine
O=C1C(Cl)=C([N]([R])[C](=O)[R])C(=O)C(Cl)=C1[N]([R])[C](=O)[R],O=C1C(Cl)=C(N(*)C(=O)*)C(=O)C(Cl)=C1N(*)C(=O)*,"2,5-dichloro-3,6-dioxocyclohexa-1,4-diene-1,4-bisamide"
N#CC(C#N)=C([N-][R])[C]([Nar+])=[N][R],N#CC(C#N)=C([N&-]*)C([n&+])=N*,dicyanovinyl zwitterion
O=[C]([R])OCO[P](=O)([R])[R],O=C(*)OCOP(=O)(*)*,acyloxymethyl phosphate
O=[C]([R])OCN1C(=O)C=CC1=O,O=C(*)OCN1C(=O)C=CC1=O,maleimide ester
O=[C]([R])OC=CC(=O)[O][R],O=C(*)OC=CC(=O)O*,beta acyloxy acrylate
O=[C]1N=C[N]([R])[C](=O)[R]1,O=C1N=CN(*)C(=O)*1,n-substituted dione
O=S(=O)([N]([R])[R])[N]([R])C[S][R],O=S(=O)(N(*)*)N(*)CS*,sulfonamide thioether linkage
O=[C]([R])N(C[O][R])C(=O)[N]([R])[R],O=C(*)N(CO*)C(=O)N(*)*,hydroxyalkyl imide amide
C=CC1=CC(=C)OC1=O,C=CC1=CC(=C)OC1=O,vinylidene furanone
O=[C]1[R][C](=O)[N]([R])C[N]1[R],O=C1*C(=O)N(*)CN1*,six-membered diamide
[Car]=[N]CO[N]=[Car],c=NCON=c,bis aryl imino methyl ether
O=[C]1C=C[N]([R])[C](=O)[R]1,O=C1C=CN(*)C(=O)*1,"pyrimidine-2,4-diones"
C=CC(=O)[N]([R])C(=O)[N]([R])[R],C=CC(=O)N(*)C(=O)N(*)*,n-acryloyl imide
O=[S](=O)([R])N=c1scn[n]1[R],O=S(=O)(*)N=c1scnn1*,sulfonimine thiadiazole
O=[C]1OC[N]([N]([R])[C](=O)[R])[R]1,O=C1OCN(N(*)C(=O)*)*1,fused oxazolidinone urea
[R][N]=c1cc([N]([R])[R])nc[n]1[R],*N=c1cc(N(*)*)ncn1*,6-imino-3-alkylpurinium
[R][N]1CN=CSC1,*N1CN=CSC1,thiazolidines
O=[C]1N=C([N]([R])C(=O)[N]([R])[R])[S][R]1,O=C1N=C(N(*)C(=O)N(*)*)S*1,thiadiazolone urea
C=CC(=CC(=O)[N]([R])[R])C(=O)[O][R],C=CC(=CC(=O)N(*)*)C(=O)O*,bis-activated diene
O=C1C=CC(=C2C=C[N]([R])[N]2[R])C=C1,O=C1C=CC(=C2C=CN(*)N2*)C=C1,indazolone
O=[C]1[R][C](=O)N(C(=[N][R])[N]([R])[R])[N]1[R],O=C1*C(=O)N(C(=N*)N(*)*)N1*,n-amidino cyclic urea
C=CC=C(C=CC(=O)[O][R])C(=O)[O][R],C=CC=C(C=CC(=O)O*)C(=O)O*,conjugated geminal diesters
C=CC(C=CC(=O)O)=CC(=O)[N]([R])[R],C=CC(C=CC(=O)O)=CC(=O)N(*)*,acrylic enamide diene
O=C(O)C=CC1=CC(=O)C([O][R])=C([O][R])C1=O,O=C(O)C=CC1=CC(=O)C(O*)=C(O*)C1=O,quinone acrylic acid
C=CC=CC=CC=CC=CC=CC(=O)[O][R],C=CC=CC=CC=CC=CC=CC(=O)O*,polyene carboxylic acid
O=C1C=C(O)C(=O)C=C1O,O=C1C=C(O)C(=O)C=C1O,"quinones with 2,5-dihydroxy substitution"
O=C(C=C([C](=O)[R])[N]([R])[R])[O][R],O=C(C=C(C(=O)*)N(*)*)O*,3-amino-3-carbonyl acrylate
O=C(C=C(C(=O)[N]([R])[R])[N]([R])[R])[O][R],O=C(C=C(C(=O)N(*)*)N(*)*)O*,beta-amino-beta-carbamoyl acrylate
C=CC=N[N]([R])C(=O)[O][R],C=CC=NN(*)C(=O)O*,alkenylideneamino carbamate
[R][N]=CC=C1OC([S][R])=N[N]1[R],*N=CC=C1OC(S*)=NN1*,azo vinyl oxadiazole thioether
O=CC=CC=C([S][R])[N]([R])[R],O=CC=CC=C(S*)N(*)*,conjugated aldehyde with amino thioether
O=C1C(=CC=C([Se][R])[N]([R])[R])C(=O)[N]([R])C(=S)[N]1[R],O=C1C(=CC=C([#34]*)N(*)*)C(=O)N(*)C(=S)N1*,selenazole thiobarbiturate
O=C1C(=CC=C[N]([R])[R])C(=O)[N]([R])C(=S)[N]1[R],O=C1C(=CC=CN(*)*)C(=O)N(*)C(=S)N1*,thiobarbiturate enamine diene
C=CC(=CC=C1C(=O)[N]([R])C(=S)[N]([R])C1=O)[N]([R])[R],C=CC(=CC=C1C(=O)N(*)C(=S)N(*)C1=O)N(*)*,enamine thiobarbiturate
O=C1C(=CC=C([O][R])[N]([R])[R])C(=O)[N]([R])C(=S)[N]1[R],O=C1C(=CC=C(O*)N(*)*)C(=O)N(*)C(=S)N1*,thiobarbiturate merocyanine
[R][N]=CC=C[N]([R])[R],*N=CC=CN(*)*,divinylogous amidine
[R][N]=CC=C([O][R])[N]([R])[R],*N=CC=C(O*)N(*)*,beta-amino beta-alkoxy imine
[R][O]C(=CC=[N+]([R])[R])[N]([R])[R],*OC(=CC=[N&+](*)*)N(*)*,enol ether enamine iminium
O=C1C(=CC=CC=C[N]([R])[R])C(=O)[N]([R])C(=S)[N]1[R],O=C1C(=CC=CC=CN(*)*)C(=O)N(*)C(=S)N1*,amino ene thiobarb
O=C([N]([R])[R])[N]([R])C=NO,O=C(N(*)*)N(*)C=NO,oxime urea
C=N[N]([R])C(=[N][R])[N]([R])C#N,C=NN(*)C(=N*)N(*)C#N,hydrazone amidine cyanamide
O=C([N]([R])C(=NO)[N]([R])[R])[N]([R])[S](=O)(=O)[R],O=C(N(*)C(=NO)N(*)*)N(*)S(=O)(=O)*,hydroxycarbamimidoyl sulfonylurea
O=[P]([R])([R])[S][R],O=P(*)(*)S*,phosphine oxide thioether
C=CC=[N+]([R])[R],C=CC=[N&+](*)*,eniminium
C=CC1=[N+]([B-](F)(F)[Nar])C(=C)C=C1,C=CC1=[N&+]([B&-](F)(F)n)C(=C)C=C1,vinyl bf2 n-heteroaryl azete cation
F[B-](F)([Nar])[N+]1=CC=CC1=C[N]([R])[R],F[B&-](F)(n)[N&+]1=CC=CC1=CN(*)*,difluoroboranuidate pyridinium enamine
C=CC(=C)[N]([R])[R],C=CC(=C)N(*)*,"3-amino-1,3-diene"
O=C(C1N=C([N]([R])[R])N=C([N]([R])[R])[N]1[R])[N]([R])[R],O=C(C1N=C(N(*)*)N=C(N(*)*)N1*)N(*)*,melamine carboxamide
O=C(C1[N]([R])[R][C](=O)[N]1[R])[N]([R])[R],O=C(C1N(*)*C(=O)N1*)N(*)*,heterocyclic diamide carboxamide
[Car]=[N][N]=[Car],c=NN=c,aromatic diimine hydrazine
C=CC=C(C=C)[N]([R])[R],C=CC=C(C=C)N(*)*,monosubstituted benzene
O=C1[N]([R])C2C([N]1[R])N(CO)C(=O)[N]2[R],O=C1N(*)C2C(N1*)N(CO)C(=O)N2*,hydroxymethyl hydantoin
O=C1C=CC=CC1=C(O)[N]([R])[R],O=C1C=CC=CC1=C(O)N(*)*,dienone hydroxamate
[R][S]C(=CC=CC([S][R])=[N+]([R])[R])[N]([R])[R],*SC(=CC=CC(S*)=[N&+](*)*)N(*)*,thiadicarbocyanine
O=C1C=C(O)C=CC1=C1C=C(C(=O)[N]([R])[R])[N]([R])O1,O=C1C=C(O)C=CC1=C1C=C(C(=O)N(*)*)N(*)O1,quinone fused oxazole amide
O=C([N]([R])[R])[N]([R])C1C([N]([R])C(=O)[N]([R])[R])[N]([R])C(=O)[N]1[R],O=C(N(*)*)N(*)C1C(N(*)C(=O)N(*)*)N(*)C(=O)N1*,imidazolidinone diureas
[R][N]=C(SC[O][R])[N]([R])[R],*N=C(SCO*)N(*)*,thioether alkoxyamidine
O=C1C(=C[O][R])C=N[N]1[R],O=C1C(=CO*)C=NN1*,4oxymethylidene pyrazol3one
[R][O]C=N[O][R],*OC=NO*,imidate
O=[C]1[R][N]([R])C(=O)OC[N]([R])C1=O,O=C1*N(*)C(=O)OCN(*)C1=O,diazepine trione
O=C([N-][R])[O][R],O=C([N&-]*)O*,carbamate anion
O=C(O)C=CC=CC(=O)[O][R],O=C(O)C=CC=CC(=O)O*,"hexa-2,4-dienedioate"
C=C(N=[N][R])C(=O)[O][R],C=C(N=N*)C(=O)O*,diazo acrylate
O=C([O][R])C(=N[N]([R])[R])C(=O)[O][R],O=C(O*)C(=NN(*)*)C(=O)O*,malonyl hydrazone
O=[C]([R])C(=NO)C(=O)[O][R],O=C(*)C(=NO)C(=O)O*,hydroxyimino malonate
O=C([O][R])C(C=[N][R])=NO,O=C(O*)C(C=N*)=NO,heterocyclic n-oxide carboxylate
O=[C]([R])ON=C([C](=O)[R])C(=O)[O][R],O=C(*)ON=C(C(=O)*)C(=O)O*,acyloxyimino dicarboxylate
O=C([O][R])C(=C[N]([R])[R])C(=O)[N]([R])[R],O=C(O*)C(=CN(*)*)C(=O)N(*)*,3-amino-2-carbamoylpropenoate
N#CC(C(=O)[O][R])=C1SSC(=C(C#N)C(=O)[O][R])S1,N#CC(C(=O)O*)=C1SSC(=C(C#N)C(=O)O*)S1,cyano carboxylate trithiolane
O=C([O][R])C(=C[N]([R])[R])[N]([R])C(=O)[O][R],O=C(O*)C(=CN(*)*)N(*)C(=O)O*,alpha-carbamate beta-enamino acrylic acid
O=C(C=C[N]([R])[N]([R])[R])[O][R],O=C(C=CN(*)N(*)*)O*,beta hydrazino acrylate
C=CC=CC=CC=CC(=O)[O][R],C=CC=CC=CC=CC(=O)O*,hobt ester
O=C(C=C[N]([R])C[N]([R])C(=O)[O][R])[O][R],O=C(C=CN(*)CN(*)C(=O)O*)O*,vinyl methylenediamine diester
O=[C]([R])C(C(=O)[O][R])=C([N]([R])[R])[N]([R])[R],O=C(*)C(C(=O)O*)=C(N(*)*)N(*)*,diaminomethylidene beta keto ester
O=[C]([R])OC=C(C(=O)[O][R])C(=O)[O][R],O=C(*)OC=C(C(=O)O*)C(=O)O*,acyloxyalkylidene malonate
O=[C]([Nar])C(=O)[O][R],O=C(n)C(=O)O*,heterocyclic carboxylic acid ester
N#CC(=N[N]([R])[R])C(=O)[O][R],N#CC(=NN(*)*)C(=O)O*,cyano hydrazinylidene acetate ester
O=C([CH]=[Car])[O][R],O=C([C&H1]=c)O*,arylidene ester
O=C([O][R])[N]([R])C(=[N][R])[N]([R])[R],O=C(O*)N(*)C(=N*)N(*)*,carbamoylguanidine
O=C(O)C=C[N]([R])C=CC(=O)[O][R],O=C(O)C=CN(*)C=CC(=O)O*,diacrylic acid tertiary amine
N#CC=C([S][R])[N]([R])C=CC(=O)[O][R],N#CC=C(S*)N(*)C=CC(=O)O*,cyano vinyl sulfide enamine acrylate
C=C1SC([N]([R])[R])=C(C(=O)[O][R])C1=O,C=C1SC(N(*)*)=C(C(=O)O*)C1=O,5-alkylidene-4-oxo-2-aminothiophene-3-carboxylate
O=[C]([R])OC(=CC(=O)[O][R])C(=O)[O][R],O=C(*)OC(=CC(=O)O*)C(=O)O*,2-acyloxy butenedioate
C=[C]([Nar])C(=O)[O][R],C=C(n)C(=O)O*,2-phenylpyrrole
O=C([O][R])C1=C[N]([R])C(=O)C1=O,O=C(O*)C1=CN(*)C(=O)C1=O,dioxopyrrole carboxylate
C=CC(=C)[N]([R])N=C,C=CC(=C)N(*)N=C,dienyl hydrazone
O=S([N]=[Car])[O][R],O=S(N=c)O*,sulfonimidate ester
S=C([N]([R])[R])[N]([R])C[O][R],S=C(N(*)*)N(*)CO*,hydroxyalkyl thiourea
N#CC(=C[N]([R])[R])C(=O)[O][R],N#CC(=CN(*)*)C(=O)O*,3-amino-2-cyanoacrylate
C=[S][R],C=S*,thiophene
OCN=c1ccc(Cl)c[n]1[R],OCN=c1ccc(Cl)cn1*,chloro aryl imino ether
O=C(C(=O)[N]([R])[Nar])[N]([R])[R],O=C(C(=O)N(*)n)N(*)*,heterocyclic oxamide
O=C(C(Cl)=C(Cl)Cl)[N]([R])[R],O=C(C(Cl)=C(Cl)Cl)N(*)*,"2,3,3-trichloroprop-2-enamide"
O=C[CH]=[Car],O=C[C&H1]=c,beta furyl carbonyl
O=P(Cl)(Cl)[O][R],O=P(Cl)(Cl)O*,dichlorophosphate
O=[C]1N=C([S][R])[S][R]1,O=C1N=C(S*)S*1,thiazol-4-one dithio
O=[C]([R])C=C1C(=O)[N]([R])[R][C](=O)[N]1[R],O=C(*)C=C1C(=O)N(*)*C(=O)N1*,unsaturated diketopiperazine
O=C(C(=C[N]([R])[R])[N]([R])[R])[N]([R])[R],O=C(C(=CN(*)*)N(*)*)N(*)*,aminomethylene malonamide
[S-][R],[S&-]*,thiolate
O=C(C=N[N]([R])C(=O)[O][R])[N]([R])[R],O=C(C=NN(*)C(=O)O*)N(*)*,acyl hydrazone ester
O=C(N=[S](=O)([R])[N]([R])[R])[O][R],O=C(N=S(=O)(*)N(*)*)O*,sulfoximine carbamate
O=[C]([R])N([C](=O)[R])C(=O)[O][R],O=C(*)N(C(=O)*)C(=O)O*,diacyl carbamate
C=CN(C=CC(=O)[O][R])C(=O)[O][R],C=CN(C=CC(=O)O*)C(=O)O*,n-vinyl-n-acrylate-n-carboxylate
O=C([O][R])N1CN(C(=O)[O][R])CN(C(=O)[O][R])C1,O=C(O*)N1CN(C(=O)O*)CN(C(=O)O*)C1,triazinane tricarboxylic acid
C=C(C#N)C(=O)[N]([R])C(=O)[O][R],C=C(C#N)C(=O)N(*)C(=O)O*,cyanopropenoyl carbamate
O=C([O][R])[N]([R])C(=[N][R])[S][R],O=C(O*)N(*)C(=N*)S*,n-thiocarbonimidoyl carbamate
O=C([O][R])OCOC=C(C(=O)[N]([R])[R])[N]([R])[S](=O)(=O)[R],O=C(O*)OCOC=C(C(=O)N(*)*)N(*)S(=O)(=O)*,vinyl sulfonamide carbonate ester
C=C1N=C(SC(=O)[O][R])SC1=O,C=C1N=C(SC(=O)O*)SC1=O,thioester alkylidene thiazolone
O=[P]([R])([R])C([O][R])[O][R],O=P(*)(*)C(O*)O*,phosphonic acid geminal dioxy
S=C([O][R])SSC(=S)[O][R],S=C(O*)SSC(=S)O*,xanthogen disulfide
[R][O]CN=C[N]([R])[R],*OCN=CN(*)*,n-alkoxymethylamidine
[R][O]C1C=CC=CO1,*OC1C=CC=CO1,dioxole
C=C1SC(=S)N([N]([R])[S](=O)(=O)[R])C1=O,C=C1SC(=S)N(N(*)S(=O)(=O)*)C1=O,rhodanine sulfonylhydrazine
OC[N+]([R])=C[N]([R])[R],OC[N&+](*)=CN(*)*,n-hydroxyalkylamidinium
O=C([N]([R])CO)[N]([R])CO,O=C(N(*)CO)N(*)CO,bis hydroxymethyl urea
O=[C]1[R][N]=C([S][R])[N]1[R],O=C1*N=C(S*)N1*,thioether substituted azolone
OC(C=N[O][R])=[N][R],OC(C=NO*)=N*,hydroxy imino oxime ether
O=[C]([R])[N]([R])N=CC(=O)[N]([R])[O][R],O=C(*)N(*)N=CC(=O)N(*)O*,heterocyclic hydroxamic acid
C=CC=N[N]([R])P(=O)([O][R])[O][R],C=CC=NN(*)P(=O)(O*)O*,vinyl hydrazone phosphonate
O=[C]([R])[N]([R])C(=C[N]([R])[R])P(=O)([O][R])[O][R],O=C(*)N(*)C(=CN(*)*)P(=O)(O*)O*,enaminophosphonate amide
C=C(P(=O)([O][R])[O][R])P(=O)([O][R])[O][R],C=C(P(=O)(O*)O*)P(=O)(O*)O*,vinylidene bisphosphonate
O=P([O][R])([O][R])[N]([R])[N]([R])[R],O=P(O*)(O*)N(*)N(*)*,phosphonic hydrazide
[R][O]C[S][Au]=[P]([R])([R])[R],*OCS[#79]=P(*)(*)*,gold phosphinidene complex
O=[C]([R])[N]([R])[N]([R])C(=S)[S][R],O=C(*)N(*)N(*)C(=S)S*,acyl hydrazine dithiocarbamate
O=[C]([R])N=C([N]([R])[R])[N]([R])[C](=O)[R],O=C(*)N=C(N(*)*)N(*)C(=O)*,dicarbonyl guanidine
[R][N-][Car],*[N&-]c,aromatic azanide
O[N]([R])C=C1C=NC=N1,ON(*)C=C1C=NC=N1,hydroxyamino imidazole alkylidene
[R][N]([R])C1([N]([R])[R])[N]([R])N=C2C=CC=NN21,*N(*)C1(N(*)*)N(*)N=C2C=CC=NN12,triazolopyrimidine
[R][N]=C(C([O][R])[O][R])[N]([R])[R],*N=C(C(O*)O*)N(*)*,amidine acetal
O[Si]([R])([R])[R],O[#14](*)(*)*,silicon bonded oxygen
C=CC=CC=CN=NC=N[N]([R])[R],C=CC=CC=CN=NC=NN(*)*,polyene azo compound
O=C(C(=C[N]([R])[R])C(=O)[N]([R])[R])[N]([R])[R],O=C(C(=CN(*)*)C(=O)N(*)*)N(*)*,enamino malonamide
C=NC[N]([R])[R],C=NCN(*)*,n aminomethyl imine
[Cl][Hg][R],Cl[#80]*,chloromercury
[Cl][Mn][Cl],Cl[#25]Cl,manganese dichloride
[Cl][Ni][Cl],Cl[#28]Cl,dichloronickel
[Cl][Pt-2]([Cl])([N+]([R])([R])[R])[N+]([R])([R])[R],Cl[#78&-2](Cl)([N&+](*)(*)*)[N&+](*)(*)*,dichloro diammonium platinum
[Cl][Pt+2][Cl],Cl[#78&+2]Cl,dichloroplatinum(2+)
[R][N-][R],*[N&-]*,azanide
[Cl][Ti]([Cl])[Cl],Cl[#22](Cl)Cl,titanium trichloride
ClC=[CH][Nar],ClC=[C&H1]n,chlorovinyl aromatic nitrogen
O=[N+]([O-])C(C(Cl)=C(Cl)Cl)=C([N]([R])[R])[N]([R])[R],O=[N&+]([O&-])C(C(Cl)=C(Cl)Cl)=C(N(*)*)N(*)*,nitro diamino trichloro butadiene
C=CC(=O)N=C,C=CC(=O)N=C,vinyl carbonyl imine
C=CC=C1C(Cl)=C(Cl)C(Cl)=C1Cl,C=CC=C1C(Cl)=C(Cl)C(Cl)=C1Cl,tetrachlorocyclopentadienylidene conjugated diene
C=N[N]=[Car],C=NN=c,arylazo imine
[R][S]C1=N[N]([R])C(=C2C=CC=N2)O1,*SC1=NN(*)C(=C2C=CC=N2)O1,"2-pyrrol-2-ylidene-5-thio-1,3,4-oxadiazole"
O=[S](=O)([R])[S][R],O=S(=O)(*)S*,thiosulfonate
O=[C]1[R][N](CN2C[N]([R])[R][C]2=O)C[N]1[R],O=C1*N(CN2CN(*)*C2=O)CN1*,bis imide methylene bridge
O=P(O)([O][R])[N]([R])[R],O=P(O)(O*)N(*)*,phosphoramidate
C=NC(O)C(=O)[N]([R])[R],C=NC(O)C(=O)N(*)*,hydroxy imino carboxamide
O=[C]([R])[N]([R])C([N]([R])[R])[N]([R])[R],O=C(*)N(*)C(N(*)*)N(*)*,diaminoalkyl amide
O=[S](=O)([R])N=[S](=O)([R])[N]([R])[R],O=S(=O)(*)N=S(=O)(*)N(*)*,sulfonyl sulfonimidamide
O=[C]1[R][N]([R])CN(C[O][R])C[N]([R])C(N=C[N]([R])[R])[N]1[R],O=C1*N(*)CN(CO*)CN(*)C(N=CN(*)*)N1*,amidine-containing nucleoside-like macrocycle
O=C1C=CN([N]([R])[R])C1=CC=N[N]([R])[R],O=C1C=CN(N(*)*)C1=CC=NN(*)*,pyrrolinone vinyl hydrazone
N#CC(C#N)=CC=N[N]([R])[R],N#CC(C#N)=CC=NN(*)*,azolylmethylene malononitrile
C=NN=CC=NO,C=NN=CC=NO,azine oxime
C=[S]([R])[R],C=S(*)*,sulfonium ylide
C=NC(=[N][R])[N]([R])[R],C=NC(=N*)N(*)*,biguanide
[R][O]N=CC=N[O][R],*ON=CC=NO*,vicinal dioxime
O=N[CH]=[Car],O=N[C&H1]=c,nitrone
[Car]=[C]1C=CNC=C1,c=C1C=CNC=C1,1 arylidene 1 4 dihydropyridine
O=[C]([R])C=CC=N[N]([R])[R],O=C(*)C=CC=NN(*)*,beta-hydrazone enone
[R][N]([R])[N]([R])C=CC=[N+]([R])[R],*N(*)N(*)C=CC=[N&+](*)*,hydrazinyl vinyl iminium
O=S(=O)(N=C1C=CC(=NS(=O)(=O)[N]([R])[R])C=C1)[N]([R])[R],O=S(=O)(N=C1C=CC(=NS(=O)(=O)N(*)*)C=C1)N(*)*,disulfamoyliminocyclohexadiene
[R][N+100]([R])([R])[R],*[N&+100](*)(*)*,quaternary nitrogen
O=[C]1[R][N]([R])C(=O)N1C[N]([R])[S](=O)(=O)[R],O=C1*N(*)C(=O)N1CN(*)S(=O)(=O)*,hydantoin sulfonamide
S=C1C(=C[N]([R])[R])C(=C[N]([R])[R])C(=S)[N]1[R],S=C1C(=CN(*)*)C(=CN(*)*)C(=S)N1*,bis enamine pyrrolidine dithione
C=C([S][R])[N]([R])[R],C=C(S*)N(*)*,gem-amino thioether alkene
O=C(C=C1SC(=[N][R])[N]([R])C1=O)[N]([R])[R],O=C(C=C1SC(=N*)N(*)C1=O)N(*)*,thiazolidinone imine amide
O=C(C1N=C([N]([R])[R])[N]([R])C([N]([R])[R])=N1)[N]([R])[R],O=C(C1N=C(N(*)*)N(*)C(N(*)*)=N1)N(*)*,spiro triazine oxindole
O=C1[N]([R])C2N=C3[S][R][C](=O)N3[N]([R])C2[N]1[R],O=C1N(*)C2N=C3S*C(=O)N3N(*)C2N1*,thia pentaza tricyclic dione
O=[C]1C=C([N]([R])[R])[N](C[S][R])[R]1,O=C1C=C(N(*)*)N(CS*)*1,1-thiomethylpyrazol-5-one
OC1=C2N=C[N]([R])C2N(C[O][R])C=N1,OC1=C2N=CN(*)C2N(CO*)C=N1,n-glycosyl purine
O=[C]([R])[N]([R])[N]([R])C=CC=[N][R],O=C(*)N(*)N(*)C=CC=N*,hydrazine aza-diene carbonyl
C1=NCN=C1,C1=NCN=C1,imidazole
O=[C]([R])ON=C1SC(=[N][R])C=C1[N]([R])[R],O=C(*)ON=C1SC(=N*)C=C1N(*)*,dihydrothienopyrrole ester
O[S](O)([R])[R],OS(O)(*)*,dihydroxy sulfane
C=C(C=O)[S][R],C=C(C=O)S*,alpha oxo vinyl sulfide
C=CC(=O)[N]=[Car],C=CC(=O)N=c,vinyl ketone aromatic imine
[R][N]1C=C[N]([R])C1,*N1C=CN(*)C1,imidazole ring
O=[C]([R])[N]([R])[N]([R])[CH]=[Car],O=C(*)N(*)N(*)[C&H1]=c,heterocyclic hydrazide carbonyls
