smarts,cleaned_description
"c:1-,:2:c(:c:c(:c:c:1-[F,Cl,Br,I])-[F,Cl,Br,I])-,:[#6](=,:[#6](-[#6](=[#8])-[#7](-[#1])-[#1])-,:[#6](=[#7]-[#1])-,:[#8]-,:2)-[#1]",coumarin g
"c:1-,:3:c(:c:c:c:c:1)-,:[#6](=,:[#6](-[#6](=[#8])-[#7](-[#1])-c:2:n:c(:c:s:2)-[#6]:[#16]:[#6]-[#1])-,:[#6](=[#8])-,:[#8]-,:3)-[#1]",coumarin h
[#6](-[#1])(-[#1])-[#16;X2]-c:2:n:n:c:1-[#6]:[#6]-[#7]=[#6]-[#8]-c:1:n:2,het thio 67 a
[#16](=[#8])(=[#8])(-c:1:c:n(-[#6](-[#1])-[#1]):c:n:1)-[#7](-[#1])-c:2:c:n(:n:c:2)-[#6](-[#1])(-[#1])-[#6]:[#6]-[#8]-[#6](-[#1])-[#1],sulfonamide i
c:1-2:c(:c(:c(:c(:c:1-[#8]-[#6](-[#1])(-[#1])-[#8]-2)-[#6](-[#1])(-[#1])-[#7]-3-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#6]:[#6]-3)-[#1])-[#1])-[#1],het 65 mannich
[#6](-[#1])(-[#1])-[#8]-[#6]:[#6]-[#6](-[#1])(-[#1])-[#7](-[#1])-c:2:c(:c(:c:1:n(:c(:n:c:1:c:2-[#1])-[#1])-[#6]-[#1])-[#1])-[#1],anil alk a
"[#7]-,:4(-c:1:c:c:c:c:c:1)-,:[#6](=,:[#7+](-c:2:c:c:c:c:c:2)-,:[#6](=[#7]-c:3:c:c:c:c:c:3)-,:[#7]-,:4)-[#1]",het 5 inium
[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-c:2:c:c:c:1:s:c(:n:c:1:c:2)-[#16]-[#6](-[#1])-[#1],anil di alk p
c:1:2:c(:c(:c(:c(:c:1:c(:c(-[#1]):c(:c:2-[#1])-[#1])-[#6](-[#6](-[#1])-[#1])=[#7]-[#7](-[#1])-[#6](=[#16])-[#7](-[#1])-[#6]:[#6]:[#6])-[#1])-[#1])-[#1])-[#1],thio urea q
[#6]:1(:[#7]:[#6](:[#7]:[!#1]:[#7]:1)-c:2:c(:c(:c(:o:2)-[#1])-[#1])-[#1])-[#16]-[#6;X4],thio pyridine a
n:1:c(:n:c(:n:c:1-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#7](-[#6]-[#1])-[#6]=[#8],melamine b
c:1(:n:s:c(:n:1)-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#7]-[#6](=[#8])-c:2:c:c:c:c:c:2-[#6](=[#8])-[#8]-[#1])-c:3:c:c:c:c:c:3,misc phthal thio n
n:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#1])-[#1])-[#6](=[#8])-[#7](-[#1])-[#7]=[#6](-[#1])-c:2:c:c:c:c:c:2-[#8]-[#6](-[#1])(-[#1])-[#6](=[#8])-[#8]-[#1],hzone acyl misc b
[#6](-[#1])(-[#1])(-[#1])-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-c:1:c(:c(:c(:c(:c:1-[#8]-[#1])-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#1])-[#1])-[#6](-[#1])(-[#1])-c:2:c:c:c(:c(:c:2-[#1])-[#1])-[#8]-[#1])-[#1],tert butyl b
[#7](-[#1])(-[#1])-c:1:c(-[#7](-[#1])-[#1]):c(:c(-[#1]):c:2:n:o:n:c:1:2)-[#1],diazox e
"[#7](-[#1])(-[#1])-c:1:c(:c(:c(:c(:c:1-[#7](-[#1])-[#16](=[#8])=[#8])-[#1])-[#7](-[#1])-[#6](-[#1])-[#1])-[F,Cl,Br,I])-[#1]",anil nh no alk b
[#7](-[#1])(-[#1])-c:1:c(:c(:c(:c(:c:1-[#7]=[#6]-2-[#6](=[#6]~[#6]~[#6]=[#6]-2)-[#1])-[#1])-[#1])-[#1])-[#1],anil no alk a
[#7](-[#1])(-[#1])-c:1:c(:c(:c(:c(:c:1-n:2:c:c:c:c:2)-[#1])-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#1],anil no alk b
[#16]=[#6]-[#6](-[#6](-[#1])-[#1])=[#6](-[#6](-[#1])-[#1])-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1],thio ene amine a
[#6]-1:[#6]-[#8]-[#6]-2-[#6](-[#1])(-[#1])-[#6](=[#8])-[#8]-[#6]-1-2,het 55 b
[#8]-[#6](=[#8])-[#6](-[#1])(-[#1])-[#16;X2]-[#6](=[#7]-[#6]#[#7])-[#7](-[#1])-c:1:c:c:c:c:c:1,cyanamide a
[#8]=[#6]-[#6]-1=[#6](-[#16]-[#6](=[#6](-[#1])-[#6])-[#16]-1)-[#6]=[#8],ene one one a
[#8]=[#6]-1-[#7]-[#7]-[#6](=[#7]-[#6]-1=[#6]-[#1])-[!#1]:[!#1],ene six het d
[#8]=[#6]-[#6](-[#1])=[#6](-[#6]#[#7])-[#6],ene cyano e
[#8](-[#1])-[#6](=[#8])-c:1:c(:c(:c(:c(:c:1-[#8]-[#1])-[#1])-c:2:c(-[#1]):c(:c(:o:2)-[#6](-[#1])=[#6](-[#6]#[#7])-c:3:n:c:c:n:3)-[#1])-[#1])-[#1],ene cyano f
c:1:c(:c:c:c:c:1)-[#7](-c:2:c:c:c:c:c:2)-[#7]=[#6](-[#1])-[#6]:3:[#6](:[#6](:[#6](:[!#1]:3)-c:4:c:c:c:c(:c:4)-[#6](=[#8])-[#8]-[#1])-[#1])-[#1],hzone furan c
[#7](-[#1])(-[#1])-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-c:2:c(-[#1]):c(:c(-[#6](-[#1])-[#1]):o:2)-[#6]=[#8])-[#1])-[#1],anil no alk c
[#8](-[#1])-[#6](=[#8])-c:1:c:c:c(:c:c:1)-[#7]-[#7]=[#6](-[#1])-[#6]:2:[#6](:[#6](:[#6](:[!#1]:2)-c:3:c:c:c:c:c:3)-[#1])-[#1],hzone acid d
[#8](-[#1])-[#6](=[#8])-c:1:c:c:c:c(:c:1)-[#6]:[!#1]:[#6]-[#6]=[#7]-[#7](-[#1])-[#6](=[#8])-[#6](-[#1])(-[#1])-[#8],hzone furan e
[#8](-[#1])-[#6]:1:[#6](:[#6]:[!#1]:[#6](:[#7]:1)-[#7](-[#1])-[#1])-[#6](-[#1])(-[#1])-[#6](=[#8])-[#8],het 6 pyridone nh2
[#6]-1(=[!#6&!#1])-[#6](-[#7]=[#6]-[#16]-1)=[#8],imine one fives d
n2(-c:1:c:c:c:c:c:1)c(c(-[#1])c(c2-[#6]=[#7]-[#8]-[#1])-[#1])-[#1],pyrrole m
n2(-[#6](-[#1])-c:1:c(:c(:c:c(:c:1-[#1])-[#1])-[#1])-[#1])c(c(-[#1])c(c2-[#6]-[#1])-[#1])-[#6]-[#1],pyrrole n
n1(-[#6](-[#1])-[#1])c(c(-[#6](=[#8])-[#6])c(c1-[#6]:[#6])-[#6])-[#6](-[#1])-[#1],pyrrole o
n1(-[#6])c(c(-[#1])c(c1-[#6](-[#1])=[#6](-[#6]#[#7])-c:2:n:c:c:s:2)-[#1])-[#1],ene cyano g
n3(-c:1:c:c:c:c:c:1-[#7](-[#1])-[#16](=[#8])(=[#8])-c:2:c:c:c:s:2)c(c(-[#1])c(c3-[#1])-[#1])-[#1],sulfonamide j
n2(-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#1])-[#1])-[#6](=[#8])-[#7](-[#1])-[#6](-[#1])(-[#6](-[#1])-[#1])-[#6](-[#1])(-[#1])-[#8]-[#6]:[#6])c(c(-[#1])c(c2-[#1])-[#1])-[#1],misc pyrrole benz
c:1(:c:c:c:c:c:1)-[#7](-[#1])-[#6](=[#16])-[#7]-[#7](-[#1])-[#6](-[#1])=[#6](-[#1])-[#6]=[#8],thio urea r
[#6]-1(-[#6](=[#8])-[#6](-[#1])(-[#1])-[#6]-[#6](-[#1])(-[#1])-[#6]-1=[#8])=[#6](-[#7]-[#1])-[#6]=[#8],ene one one b
[#7](-[#1])(-[#1])-[#6]-1=[#6](-[#6]#[#7])-[#6](-[#1])(-[#6]:[#6])-[#16]-[#6;X4]-[#16]-1,dhp amino cn h
[#6](-[#1])(-[#1])-[#8]-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#1])-[#1])-[#7](-[#1])-c:2:c:c:n:c:3:c(:c:c:c(:c:2:3)-[#8]-[#6](-[#1])-[#1])-[#8]-[#6](-[#1])-[#1],het 66 anisole
[#6](-[#1])(-[#1])-[#8]-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#8]-[#6](-[#1])-[#1])-[#1])-[#7](-[#1])-c:2:n:c(:c:s:2)-c:3:c:c:c(:c:c:3)-[#8]-[#6](-[#1])-[#1],thiazole amine n
[#6]~1~3~[#7](-[#6]:[#6])~[#6]~[#6]~[#6]~[#6]~1~[#6]~2~[#7]~[#6]~[#6]~[#6]~[#7+]~2~[#7]~3,het pyridiniums c
[#7]-3(-c:2:c:1:c:c:c:c:c:1:c:c:c:2)-[#7]=[#6](-[#6](-[#1])-[#1])-[#6](-[#1])(-[#1])-[#6]-3=[#8],het 5 e
C1(C)(C)SC(C(=O)O)=C(C(=O)O)S1,"2,2-dimethyl-4,5-dicarboxy-dithiole"
c([OH])c([OH])c([OH]),"2,3,4 trihydroxyphenyl"
c([OH])c([OH])cc([OH]),"2,3,5 trihydroxyphenyl"
C(=O)OC(=O),acid anhydrides
"[S,C](=[O,S])[F,Br,Cl,I]",acid halides
c1c2cc4ccccc4nc2ccc1,acridine
"P(=S)([OH1,O$(O[#6])])([OH1,O$(O[#6])])[S,O]",active phosphate
C(=O)-C#N,acyl cyanide
[*;R]=[*;R]=[*;R],adjacent ring double bonds
[#6][C!H0]=O,aldehyde
COS(=O)(=O)C(F)(F)F,aliphatic triflate
"[Br,Cl,I][CX4;CH,CH2]",alkyl halides
"[C;H1$(C([#6;!$(C=O)])),H0$(C([#6;!$(C=O)])[#6;!$(C=O)])]=[CH1]!@N([#6;!$(C(=O))])[#6;!$(C(=O))]",alkylenamine
*=C=*,allene
"[C;!$(C[N])](=O)!@[C;h1,h2;H1,H2][F,Cl,Br,I]",alpha halo carbonyl
c1nnnn1C=O,amidotetrazole
c1(N)ccc(C(=O)NC3(=O))c(c3ccc2)c21,amino naphtalimide
NC#N,aminonitrile
[#6]C(=O)OC(=O)[#6],anhydride
O=*N=[N+]=[N-],any carbazide
cN=N=N,aromatic azides
N=[N+]([O-])C,azanitrone
[N;R0]=[N;R0]CC=O,azoalkanals
c1ccccc1[N!r]=[N!r]c2ccccc2,azobenzene
[N;R0]=[N;R0]C#N,azocyanamide
"C(=O)CC[N+,n+]",b-carbonyl quaternary nitrogen
"cC[N+,NX4]",benzylic quaternary nitrogen
"C(=O)C[N+,n+,NX4,nX4]",beta-carbonyl quaternary nitrogen
"[C;H2$(CF),H1$(C(F)F)]!@[CH2][N,O]",beta-fluoro-ethyl-on
C12C(NC(N1)=O)CSC2,biotin analogue
C(=O)N=N=N,carbazides
N=C=N,carbodiimides
"C(Cl)(Cl)(Cl)C([O,S])[NX3]",ccl3-cho releasing
[Cl]C([C&R0])=N,chloramidine
SC(=[!r])S,conjugated dithioether
O1CCOCCOCCOCC1,crown ether 12cro4
O1CCOCCOCCOCCOCC1,crown ether 15cro5
O1CCOCCOCCOCCOCCOCC1,crown ether 16cro6
[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],crown ethers
N[CH2]C#N,cyanamide
P(OCC)(OCC)(=O)C#N,cyanophosphonate
N#CC[OH1],cyanohydrin
P(=O)([OH])OP(=O)[OH],di and triphosphates
C#CC#C,diacetylene
C=[N+]=[N-],diazoalkane
[N+]#N,diazonium salt
C!@=[CH1]-C!@=[CH1]-[CX3](=O),diene
c1c([N+](=O)[O-])c([N+](=O)[O-])ccc1,dinitrobenzene 1
c1c([N+](=O)[O-])ccc([N+](=O)[O-])c1,dinitrobenzene 2
c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,dinitrobenzene 3
[SX2][SX2],disulfides
NC(=S)S,dithiocarbamate
S1SC=CC1=S,dithiole-2-thione
S1C=CSC1=C,dithiole-3-thione
S[C;!$(C=*)]S,dithiomethylene acetal
C=!@CC#C,enyne
"C1[O,S,N]C1","epoxides, thioepoxides, aziridines"
C(=O)Onnn,ester of hobt
"c1cccc(NC(=NC(=[N,S,O])NC(=O)3)C3=N2)c12",flavin
c1cc(O)cc(OC(=CC(=O)C=C3)C3=C2)c12,fluorescein
C(C(CF)F)F,fluorinated carbon 1
C(C(F)F)(F)F,fluorinated carbon 2
C1(=O)OCC1,four member lactones
[NH1;!r][CX4][NH1;!r],geminal amines
N#CCC#N,geminal dinitriles
"[Cl,Br,I]c1[c,n][c,n][c,n][c,n]n1","halo-pyridine, -diazoles and -triazoles"
N=NC(S)N,hydrazothiourea
c1[n+]([#6])ccn1([#6]),imidazolium
"[#6,#8,#16]-[CH1]=[NH1]",imine2
"[#6][C;R0](=[N;R0,O0])[#6]",imines (not ring)
"N=C=[S,O]",isocyanates and isothiocyanates
[N+]#[C-],isonitrile
C=C=O,ketene
P(=S)(S)S,lawesson reagent derivatives
S1C=CSC1=S,"methylidene-1,3-dithiole"
c1ccccc1C(=O)C=!@CC(=O)!@*,michael phenyl ketone
"[NX3,NX4][F,Cl,Br,I]",n-halo
"c1ccc(n[o,s]n2)c2c1[N+](=O)[O-]",nitrobenz-azadiazole 1
"c1c([N+](=O)[O-])cc(n[o,s]n2)c2c1",nitrobenz-azadiazole 2
N-[N;X2](=O),nitrosamine
[N&D2](=O),nitroso
"N1=C[S,NH1]C(=[C,N,P][C,N,O,P])C1(=O)",noname
[N+!$(N=O)][O-X1],n-oxide aliphatic
[#6][S!$(S(~[OD1])~[OD1])][N;H0],n-s (not sulfonamides)
C(O)(O)[OH],orthoester
c1c([OH1])c(C(C)(C)C)ccc1,o-tertbutylphenol
C1(=O)C=CCSC=C1,oxobenzothiepine
"[P,S][Cl,Br,F,I]",p or s halides
Nc1aaa(N!@=N)aa1,p-aminoaryl diazo
PCP,pcp
C(=O)Oc1ccc([N+](=O)[O-])cc1,paranitrophenyl esters
"c1c([F,Cl])c([F,Cl])c([F,Cl])c([F,Cl])c1([F,Cl])",pentahalophenyl
C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),pentafluorophenyl esters
[#8]~[#8],peroxide
c12cccc3c1c4c(cc3)cccc4cc2,phenanthrene
C(=O)!@Oc1ccccc1,phenylester
[#6]P(=O)(~O)O[#6],phosphonate esters
NP(=O)(N)N,phosphoramides
C=P,phosphorane
"[S,P][F,Cl,Br,I]",phosphorus halide
C=!@CC=!@C,polyene
C=CC=CC=CC=C,polyenes
cC=CC=CC=Cc,polyene chain between aromatics
CC#CC#CC,polyines
c1cccc(cc(cccc2)c2c3)c13,polynuclear aromatic 1
c1cccc(c(cccc2)c2cc3)c13,polynuclear aromatic 2
*[SX2][SX2][SX2]*,polysulfide
"[#16][F,Cl,Br,I]",sulphur halide
c1c2cccc3c2c4c(cc3)cccc4c1,pyrene fragments
c1ccc[o+]c1,pyrylium
"[C;!r](=[O,S])[S;!r]",reactive carbonyls
"[C;!r](=[O,S])[CD2;!r][F,Br,Cl]",reactive carbonyls
"[C,c;R]#[C,c;R]",ring triple bond
[S;R0]=[N;R0],s=n (not ring)
O=[SX4](=O)OC,sulfonate ester
S(=O)(=O)C#N,sulfonyl cyanide
"COS(=O)O[C,c]",sulphate ester
"COS(=O)(=O)[C,c]",sulphonates
[SX2H0]!@[N],sulphur nitrogen single bond
C1NNC=NN1,tetraazinane
SC#N,thiocyanate
"C[O,S;R0][C;R0](=S)",thioesters
[!a][SX2;H1],thioles (not aromatic)
"P(=S)(-[S;H1,H0$(S(P)C)])(-[O;H1,H0$(O(P)C)])(-N(C)C)",thiophosphothionate
[N;!r][C;!r](=S)[N;!r],thiourea
"*1[O,S]*1",three membered heterocycle
"[#16v3,#16v5]",tri pentavalent s
C(=O)N(C(=O))OC(=O),triacyloxime
c1cnnn1!@C!@[NH1][#6],triazole
OS(=O)(=O)(C(F)(F)(F)),triflate
B(c1ccccc1)(c2ccccc2)c3ccccc3,triphenyl boranyl
P(c1aaaaa1)(c1aaaaa1)(c1aaaaa1),triphenylphosphines
[Si](c1ccccc1)(c2ccccc2)(c3ccccc3),triphenyl silyl
"[Cl,Br,I]C=[!O!R]",vinyl halide
"[#6][CH1]!@=[CH1][S;H1,H0$(S(C)C)](=O)(=O)",vinyl sulphone
[#6]S(=O)(=O)O,sulphates
C1C(=O)C=CC=CC=1,tropone
"[#6]C(=!@N[$(OC),$([OH])])[#6]",oxime
[#6]C(=!@NNa)[#6],hydrazone
[$(N(~!@[#6])!@O);!$([N+]([O-])=O)],nitrosone not nitro
C=S,thiocarbonyl group
C=[NH],enamine like
"c1ccccc1[NH2,NH3+]",analine
"[#6]C(=O)!@OC(=!@[N,O])[#6]",acid anhydrides 2
FC(F)(F)C(=O)N,trifluroacetate amide
[#6]C#[CH],triple bond
C=C=C,allene
"[$(Sc1nnn[nH,n-]1),$(Sc1nn[nH,n-]n1)]",thiatetrazolidine
"[#6][O;R0][$(C([#6])[#6]),$([CH][#6]),$([CH2])][O;R0][#6]",glycol
[#6]C(=O)!@C!@C(=O)N,oxy-amide
"O=[CH][O,N][#6]",formate formide
O=C1C=COC=C1,pyranone
c1cc2C=CC(=O)Oc2cc1,coumarin
s1ccnc1[N!H0],aminothiazole
O=C1CSCN1,thiazolidinone
N1C(=O)CSCC1=O,thiomorpholinedione
O1C=CC=CC=C1,oxepine
c1ccccc1!@[CH]=!@[C!H0],phenylethene
C=[CH2],ethene
C1CC=C1,cyclobutene
*!@c1c(!@*)c(!@*)c(!@*)c(!@*)c1,poly sub atomatic
"[2#1,3#1,11C,11c,14C,14c,125I,32P,33P,35S]",isotopes
"[Ac,Ag,Am,Ar,As,At,Au,Ba,Be,Bi,Bk,Cd,Ce,Cf,Cm,Cr,Cs,Dy,Er,Eu,Fr,Ga,Gd,Ge,He,Hf,Ho,In,Ir,Kr,La,Lu,Mo,Nb,Nd,Ne,Ni,Np,Os,Pa,Pb,Pd,Pm,Po,Pr,Pt,Pu,Ra,Rb,Re,Rh,Rn,Ru,Sb,Sc,Se,Sm,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zr]",undesirable elements salts
"[#6;$([#6]~[#3,#11,#12,#13,#19,#20,#26,#27,#28,#29,#30])]",metal carbon bond
[n+][O-X1].[n+][O-X1],aromatic n-oxide more than one
[N+](=O)[O-].[N+](=O)[O-],nitro more than one
C(=O)OC(=O),anhydride
C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),pentafluorophenyl ester
C(=O)Oc1ccc([N+]([O-])=O)cc1,p-nitrophenyl ester
O=*N=[N+]=[N-],any carbazide
C(=O)Onnn,hobt ester
cN=[N+]=[N-],aromatic azide
"[#6,#8,#16]-[CH1]=[NH1]",imine2
S(=O)(=O)C#N,sulfonyl cyanide
[N;R0]=[N;R0]C#N,azocyanamide
N#CC[OH],cyanohydrin
N#CC(=O),acyl cyanide
"[S,C](=[O,S])[F,Br,Cl,I]",acid halide
[Cl]C([C&R0])=N,chloramidine
"[P,S][F,Cl,Br,I]",p/s halide
"[C+,Cl+,I+,P+,S+]",quaternary
[!#6;!#7;!#8;!#16;!#1;!#3;!#9;!#11;!#12;!#15;!#17;!#19;!#20;!#30;!#35],unacceptable atoms
C(=O)N(C(=O))OC(=O),triacyloxime
"C(=O)CC[N+,n+]",b-carbonyl quaternary nitrogen
cC[N+],benzylic quaternary nitrogen
C=P,phosphorane
P(=S)(S)S,lawesson reagent derivatives
P(OCC)(OCC)(=O)C#N,cyanophosphonate
"COS(=O)(=O)[C,c]",sulfonate
"a-S(=O)(=O)-O[$([a&!#6]),$(c[a&!#6]),$(cc[a&!#6]),$(ccc[a&!#6]),$(cccc[a&!#6]),$(ccccc[a&!#6])]",heteroaryl sulfonate
"COS(=O)O[C,c]",sulfate ester
OS(=O)(=O)C(F)(F)F,triflate
"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",polyacidic
[OH]-S(=O)(=O)-*,sulfonic acid
[SH],thiol
[OH1]-C(-c1ccccc1)c2ccccc2,benzhydrol
[OH1]c1ccc([OH1])cc1,dihydroxybenzene
c([OH])c([OH])c([OH]),"2,3,4trihydroxyphenyl"
c([OH])c([OH])cc([OH]),"2,4,5trihydroxyphenyl"
*=C=*,allene
N=N=N,azide
[N;R0]=[N;R0]CC=O,azoalkanal
N=NC(=S)N,hydrazothiourea
N=N,azo
[#6]-[CH1]=O,aldehyde
[#6]-O[CH1](-[#6])[OH1],hemiacetal
[#6]-O[CH1](-[#6])O-[#6],acetal
[#6]-C(=O)-[#6],ketone
[#6]-C(=O)O-[#6],ester
"[#6,#8,#16]-C(=[NH1])[#6,#8,#16]",imine 1
C=[NH],imine 3
CC(=S)C,thioketone
"C[O,S;R0][C;R0](=S)",thioester
COC(=S)C,thionoester
CC(=S)N,thioamide
NC(=S)N,thiourea
[N&D2](=O),nitroso
[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],long chain hydrocarbon
"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]",long aliphatic chain
"[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]",unbranched chain
C=CC=CC=CC=C,polyene
[N+]#[C-],isonitrile
SC#N,thiocyanate
N[CH2]C#N,cyanamide
a-[N+](=O)[O-].a-[N+](=O)[O-],nitro aromatic 2+
"[Br,Cl,I][CX4,CH,CH2,CH3]",alkyl halide
"O=CC(-[F,Cl,Br,I])([F,Cl,Br,I])-[F,Cl,Br,I]",perhalo ketone
"O=CCC[F,Cl,Br,I]",beta halo carbonyl
"[F,Cl,Br][c]1:[c,n]:[c,n]:[n]:[c,n]:[c,n]1",4-halopyridine
"[F,Cl,Br][c]1:[c,n]:[c,n]:[c,n]:[c,n]:[n]1",2-halopyridine
"*[N,S,O]-&!@[N,S,O][#6]",hetero hetero
OO,peroxide
SS,disulfide
[#6]-[NH]-[NH]-[#6],hydrazine
[N;R0][N;R0]C(=O),acyl hydrazine
"[#6]-[CH1]=C-C(=O)[#6,#7,#8]",vinyl michael acceptor1
"[CH2]=C-C(=O)[#6,#7,#8]",vinyl michael acceptor2
N#CC(=C)C#N,michael acceptor 5
"[#6,#7]-&!@[#6](=&!@[CH])-&!@C(=O)-&!@[C,N,O,S]",michael acceptor 6
"[#6]-C#CC(=O)[#6,#7,#8]",alkynyl michael acceptor1
"[CH1]#CC(=O)-[#6,#7,#8]",alkynyl michael acceptor2
C[N+](=O)[O-],nitroalkane
[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],crown ether
[#6]-O-[N+](=O)[O-],nitrate
O=C-&!@C=O,oxalyl
*-C(=O)-&!@[NH]-C-&!@C(=O)-&!@[NH]-*,dipeptide
C[N+](-[O-])(C)C,quaternary nitroxy
a-P(-a)-a,triphenylphosphine
[OH]-P(=O)(-O)-*,phosphoric acid
COP(=O)(-*)O,phosphoric ester
P(=O)([OH])OP(=O)[OH],di/triphosphate
[#6]OP(=O)(*)O[#6].[#6]OP(=O)(*)O[#6].[#6]OP(=O)(*)O[#6],tri phosphoric esters
NP(=O)(N)N,phosphoramide
c1(c)c2c(c)cccc2ccc1,phenalene
"c12:[c,n]:[c,n]:[c,n]:[c,n]:c1[c,n]c3:[c,n]:[c,n]:[c,n]:[c,n]:c3[c,n]2",(poly(azo(anthracene))
"c12:[c,n]:[c,n]:[c,n]:[c,n]:c1:[c,n]:[c,n]:c3:[c,n]:[c,n]:[c,n]:[c,n]:c23",(poly(azo(phenanthrene))
"C1[O,S,N]C1","epoxide, aziridine, thioepoxide"
C1(=O)OCC1,propiolactone
N1CCC1=O,b-lactam
O=C1CCCC(N1)=O,cycloheximide
"[#6,#7]-S(=O)(=O)Oc",aromatic sulfonic ester
"[$([o,n]=c1ccc(=[o,n])cc1),$([O,N]=C1C=CC(=[O,N])C=C1),$([O,N]=C1[#6]:,=[#6]C(=[O,N])[#6]:,=[#6]1)]",quinone
O1CCCCC1OC2CCC3CCCCC3C2,saponin
O1CCCCC1C2CCCO2,monensin
C12OCCC(O1)CC2,squalestatin
[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3,cyanidin
O=C1NCC2CCCCC21,cytochalasin
"[Cl,Br,I][CX4][CX4][$([O,S,N]*),Cl,Br,I]",2 halo ether
"[C,S,P](=O)[F,Cl,Br,I]",acyl phosphyl sulfonyl halide
"[F,Cl,Br,I][CX4]C=C",allyl halide
"[Br,Cl,I][C!H0]C=[O,S]",alpha halo carbonyl
"[NX2R0;!H0,$([NX2R0]~[!#7])]=[NX2R0;!H0,$([NX2R0]~[!#7])]",azo
"[Br,Cl,I][CX4]c",benzyl halide
[!#7]~[NX2]~[NX1],diazo
"N=C=[N,O,P,S]",thio isocyanat diimin
"[!#1!#6!#7!#8!#9!#15!#16!#17]~[*,#1]",metal
"[CH2]=[CH][N,O,P,S;R0]",terminal vinyl
[NR0]~[NX2]~[OX1],nitrosamin
"[*,#1]~[NX2]~[OX1]",nitroso
"S=P~[*,#1]",ps double bond
"c1ccc[s,o;X2]c1",thio oxopyrylium salt
[SX4](~S)(~O)(~O)~*,thiosulfate
[PX3]([#6])([#6])[#6],trialkyl phosphin
[PX4](~[!O!S])([#6])([#6])[#6],trialkyl phosphin2
"[C;!H0,$(C[!#7])]=NO[C,S,P](=O)*",oxime ester
O=C[NX3](C=O)OC(=O)*,hydroxyimide ester
[Nv3X3][Nv3X3!H0],hydrazine
[NX1]#C[CX4][OH],cyanhydrin
*[SX3](*)*,sulfonium salt
C1(C=CC=CC1=O)=O,ortho quinone
"*C([F,Cl,Br,I,$(OS(=O)(=O)*)])=[NX2]*",react imide
"*S(=O)(=O)[F,Cl,Br,I]",sulfonyl halide
"AA[CH2][F,Cl,Br,I,$(OS(=O)(=O)*)]",alkyl halide
"*[C,S](=O)O[C,S](=O)*",anhydride
"c1nc(ncc1)[Br,I]",halo pyrimidine
"CC(=[OX1,SX1,NH])[SX2][*,#1]",thioester
"[C;!H0,$(C[#6])](=O)CC[Br,I]",beta halo carbonyl
"[*,#1][SX2R0]O[*,#1]",so bond
"[*,#1][OR0]O[*,#1]",oo bond
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2],c10 alkyl
"[2#1,3#1,13C,14C,15N,125I,23F,22Na,32P,33P,35S,45Ca,57Co,103Ru,141Ce]",isotope
P-P,pp bond
S=S,ss double bond
[Si]~O,silicate
O=[CH]*,aldehyde
C[CR0]=[NR0][*!O],imine
"C1C[N,S,O]1",epoxide aziridine
*C(=O)C(=O)*,12 dicarbonyl
[*!$(C[OH])]=C([OH])C(=O)*,12 dicarbonyl tautomer
C#CC=O,michael acceptor sp1
"[C;!H0,$(C[#6]),$(C[OH0]),$(C1(=O)C=CC(=O)C=C1)](=O)C=[C!$(C[Nv3X3,OH])]",michael acceptor2
"[Br,Cl,I][CX4]C=[C,N,P]",allyl halide2
"N[F,Cl,Br,I]",nhalide
O=S(=O)(*)F,so2f
